,street,zipcode,bathrooms,bedrooms,description,latitude,sqft,longitude,price,url,yearBuilt,neighborhood
0,6031 Thomas Ave S,55410,2,4,"Welcome home to this immaculate rambler in a prime Minneapolis neighborhood!  This home is crisp, clean and move in ready. You'll love the updates the home has to offer including a completely remodeled kitchen with granite, tiled backsplash and SS appliances.  Enjoy three bedrooms on the main level plus one large bedroom in the lower level. Fully fenced yard with all new landscaping in 2018 and a two car garage.  Fantastic location near Hwy. 62, Southdale Mall, 50th and France and lots of local shopping.  Move in and enjoy all this home has to offer!",44.893322999999995,2031,-93.313384,395000,https://www.zillow.com/homedetails/6031-Thomas-Ave-S-Minneapolis-MN-55410/1887149_zpid/,1958,"Armatage, Minneapolis"
1,5504 Richmond Curv,55410,3,4,"Picturesque and meticulously maintained Armatage home with extensive renovations, including a new open kitchen design with custom cabinets, hardwood floors, family room, finished basement with bathroom & James Hardie Board exterior siding. Take advantage of the refreshing four-season back porch while living in one of the most sought-after SW Minneapolis neighborhoods. Many new windows throughout the home, and recently added fencing and roofing. Just steps from Armatage Park, close to restaurants and shops, close proximity to Lake Harriet. Full list of updates provided. Four bedrooms upstairs. Buyers and agents to verify all dimensions.",44.903069,2276,-93.311553,585000,https://www.zillow.com/homedetails/5504-Richmond-Curv-Minneapolis-MN-55410/1884935_zpid/,1965,"Armatage, Minneapolis"
2,5737 Sheridan Ave S,55410,2,3,"This 1953 Rambler has great curb appeal in this highly sought after Armatage neighborhood & school. The home features newly painted exterior & interior. Three main floor bedroom & bath with original hardwood floors throughout. The eat-in kitchen has new SS appliances with an adjoining famliy room area that leads to a large outdoor patio with newer fenced in private backyard. The LL family room has classic original knotty pine paneling with a dry bar at one end. Also a 3/4 bath, laundry room and ample storage space. Available for quick closing.",44.898643,1914,-93.31211400000001,350000,https://www.zillow.com/homedetails/5737-Sheridan-Ave-S-Minneapolis-MN-55410/1885471_zpid/,1953,"Armatage, Minneapolis"
3,5822 Upton Ave S,55410,3,4,"Beautiful almost new home with an incredible kitchen, amazing owners suite, and backyard that will be sure to please with extensive landscaping, patio, and deck with pergola that creates an outdoor room scaping! Charming exterior and open concept interior with on-trend finishes. Second level laundry and master bath with separate shower and soaking tub. Stunning walnut floors and nine-foot ceilings on the main level. The fourth bedroom on the first floor serves well as an office option. Huge lower level amusement room. Minutes from Lake Harriet, 50th & France, and Southdale. Fantastic home, outdoor spaces, and lifestyle!",44.89721,2847,-93.31537800000001,739900,https://www.zillow.com/homedetails/5822-Upton-Ave-S-Minneapolis-MN-55410/1886728_zpid/,2014,"Armatage, Minneapolis"
4,5520 Morgan Ave S,55419,2,4,"Located in one of the sweetest blocks in Armatage, This 2 story Colonial offers living room & family room on the main level. Deck, formal dining, three season porch and three bedrooms on one level. Don't forget to check out the coved ceilings and hardwood floors! Wonderful backyard with flower garden & 2 stall garage.",44.902484,1808,-93.305194,447000,https://www.zillow.com/homedetails/5520-Morgan-Ave-S-Minneapolis-MN-55419/1896008_zpid/,1949,"Armatage, Minneapolis"
5,2521 W 60th St,55410,1,3,"Gorgeous remodeled home located on a corner lot in Southwest Minneapolis. Your 1 1/2 story home has been meticulously maintained and features an open layout, main-floor laundry, beautiful updated kitchen with heated floors that walks into your living room, main floor bedroom and updated full bath with heated floors.  Spacious upper-level has two additional bedrooms. Your back yard has a nice deck that's perfect for entertaining. New siding, paint, flooring, and more! No corner of this home has gone untouched. Make it yours today!",44.894086,1151,-93.312273,319900,https://www.zillow.com/homedetails/2521-W-60th-St-Minneapolis-MN-55410/1887108_zpid/,1950,"Armatage, Minneapolis"
6,5904 Upton Ave S,55410,1,3,"Adorable and charming mid-century story and a half in the Armatage neighborhood of SW Mpls. Super location, quick to downtown, shopping and restaurants close by. Freshly painted and meticulously maintained, this home is turn key. Newer kitchen, great surfaces, gorgeous newer bathroom finishes. The upper level bedroom is a large and wide expansion, plenty big enough for a king bed. The lower level is great for relaxing, but still enough room left over for storage and a future bathroom. Newer paver patio outside is gorgeous with large yard for entertaining. One years HSA warranty included for the buyer. Seller would prefer a 60 day closing.",44.895926,1676,-93.31537800000001,350000,https://www.zillow.com/homedetails/5904-Upton-Ave-S-Minneapolis-MN-55410/1886841_zpid/,1951,"Armatage, Minneapolis"
7,5929 Washburn Ave S,55410,2,5,"Desirable Armatage two story with generous room sizes and four bedrooms up. Freshly painted and new carpet throughout. Large kitchen with informal dining and breakfast bar eat-in (separate formal dining makes for a great home-office). Remodeled full bath on second story, main floor half bath. Recently finished lower level with large family room, recreation area and fifth bedroom with egress window. High-end washer/dryer. Newer patio door to fully fenced backyard with oversized two car garage and large deck. Incredibly efficient fiber optic internet; effective for working from home and the new school year. New A/C and hot water heater installed in 2018. Conveniently located to Lake Harriet, Minnehaha Creek, Lunds & Byerly's, dining, shops and easy access to highways. One block to neighborhood park. Ready to move-in and enjoy!",44.895278999999995,2038,-93.317194,349900,https://www.zillow.com/homedetails/5929-Washburn-Ave-S-Minneapolis-MN-55410/1886834_zpid/,1972,"Armatage, Minneapolis"
8,5853 Xerxes Ave S,55410,2,3,"Awesome investment opportunity! Great lot in a great location! Easy 62, 100, & 35W access. Close to many parks, Minnehaha Creek, shops & restaurants.  This home features original hardwood floors, spacious living spaces on main, upper and lower levels, sizable kitchen with updated vinyl plank flooring and large pantry closet. Fully fenced yard with multiple backyard garden beds. Home is being sold AS-IS.",44.89643,1989,-93.318464,325000,https://www.zillow.com/homedetails/5853-Xerxes-Ave-S-Minneapolis-MN-55410/1886780_zpid/,1953,"Armatage, Minneapolis"
9,6020 Thomas Ave S,55410,2,3,"Contract for deed possible!  Beautifully renovated home in highly- sought South Minneapolis neighborhood. This home features striking Brazilian Marble countertops in the kitchen, new floors, stainless appliances, fresh and modern paint, and a fully fenced-in yard.   There are 3 bedrooms and 1.25 baths with room to make a full second bathroom in the basement!  Don't miss your chance to check it out!",44.893696999999996,1522,-93.31410799999999,339900,https://www.zillow.com/homedetails/6020-Thomas-Ave-S-Minneapolis-MN-55410/1886953_zpid/,1952,"Armatage, Minneapolis"
