"Minneapolis, MN - All Homes",,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized
Minneapolis,city,All Homes,"$291,500",0.30%,0.90%,3.30%,6.30%,3.90%
Armatage,neighborhood,All Homes,"$360,400",0.20%,0.50%,2.50%,5.10%,4.20%
Audubon Park,neighborhood,All Homes,"$289,500",0.40%,1.00%,6.20%,7.40%,4.50%
Bancroft,neighborhood,All Homes,"$275,200",0.20%,0.40%,0.90%,7.10%,4.40%
Beltrami,neighborhood,All Homes,"$256,000",0.20%,0.50%,2.20%,7.10%,4.00%
Bottineau,neighborhood,All Homes,"$282,100",0.50%,1.50%,6.10%,8.90%,5.40%
Bryant,neighborhood,All Homes,"$271,300",0.30%,1.00%,4.10%,7.70%,4.30%
Bryn Mawr,neighborhood,All Homes,"$430,100",0.10%,0.30%,1.60%,4.00%,3.60%
Calhoun,neighborhood,All Homes,"$378,200",0.50%,1.40%,3.90%,4.80%,3.50%
Cedar-Isles-Dean,neighborhood,All Homes,"$534,100",0.50%,1.20%,1.90%,3.10%,2.30%
Cedar-Riverside,neighborhood,All Homes,"$182,900",0.30%,0.80%,4.40%,4.60%,1.90%
Central,neighborhood,All Homes,"$262,800",0.10%,0.30%,2.40%,8.70%,5.60%
Cleveland,neighborhood,All Homes,"$198,600",0.40%,1.10%,2.80%,9.80%,5.50%
Columbia Park,neighborhood,All Homes,"$252,600",0.80%,1.80%,6.80%,8.00%,4.50%
Cooper,neighborhood,All Homes,"$314,500",0.30%,0.70%,1.40%,5.40%,3.70%
Corcoran,neighborhood,All Homes,"$254,500",0.40%,0.90%,3.30%,7.50%,3.70%
Diamond Lake,neighborhood,All Homes,"$357,400",0.60%,1.30%,3.60%,5.30%,3.90%
Downtown East,neighborhood,All Homes,"$554,800",0.10%,0.80%,7.70%,6.60%,5.40%
Downtown West,neighborhood,All Homes,"$254,600",0.00%,0.10%,2.30%,5.00%,3.30%
East Bank-Nicollet Island,neighborhood,All Homes,"$462,900",--0.4%,--0.7%,0.40%,3.50%,3.00%
East Calhoun,neighborhood,All Homes,"$534,000",0.40%,0.90%,3.60%,3.60%,3.20%
East Harriet,neighborhood,All Homes,"$401,600",0.40%,1.10%,1.90%,4.50%,3.10%
East Isles,neighborhood,All Homes,"$463,200",0.30%,0.80%,2.70%,3.80%,2.80%
East Phillips,neighborhood,All Homes,"$222,700",0.00%,0.50%,6.40%,8.60%,4.00%
Elliot Park,neighborhood,All Homes,"$337,800",--0.1%,0.10%,--0.0%,3.90%,2.40%
Ericsson,neighborhood,All Homes,"$304,900",0.40%,1.00%,3.60%,6.00%,3.60%
Field,neighborhood,All Homes,"$335,300",0.60%,1.50%,1.80%,5.70%,4.00%
Folwell,neighborhood,All Homes,"$179,300",0.50%,1.30%,6.50%,12.40%,6.50%
Fuller Tangletown,neighborhood,All Homes,"$481,800",0.10%,0.30%,0.50%,3.90%,2.90%
Fulton,neighborhood,All Homes,"$515,500",0.10%,0.20%,1.70%,3.70%,3.50%
Hale,neighborhood,All Homes,"$401,000",0.70%,1.90%,6.10%,4.90%,3.60%
Harrison,neighborhood,All Homes,"$208,700",--1.0%,--1.3%,1.10%,9.30%,5.70%
Hawthorne,neighborhood,All Homes,"$191,600",0.10%,0.50%,6.80%,11.10%,5.00%
Hiawatha,neighborhood,All Homes,"$289,000",0.50%,1.20%,5.00%,6.30%,3.70%
Holland,neighborhood,All Homes,"$258,500",0.50%,1.60%,6.70%,9.50%,5.20%
Howe,neighborhood,All Homes,"$284,600",0.30%,0.80%,2.50%,6.60%,3.80%
Jordan,neighborhood,All Homes,"$187,600",0.60%,1.60%,5.90%,12.00%,6.70%
