Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Minneapolis,city,All Homes,"$291,500",0.30%,0.90%,3.30%,6.30%,3.90%,11.40%,1.70%,--9.5%,--0.8%,$306,0.30%,1.00%,3.40%,2.90%,--0.1%,--0.2%,0.20%,"$309,700",3.20%,3.60%,--3.2%,"$292,600",1.80%,7.20%,10.80%,$261,2.30%,1.20%,0.50%,"$1,800",--0.3%,0.00%,2.70%,$1.72,1.70%,1.40%,2.70%,2.01,0.90%,1.00%,0.50%,"$1,771",0.50%,--0.1%,3.60%
Armatage,neighborhood,All Homes,"$360,400",0.20%,0.50%,2.50%,5.10%,4.20%,---,---,---,---,$267,0.00%,0.40%,2.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$1,898",--2.0%,--4.8%,0.90%
Audubon Park,neighborhood,All Homes,"$289,500",0.40%,1.00%,6.20%,7.40%,4.50%,---,---,---,---,$223,0.00%,0.90%,6.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,784",0.40%,0.10%,4.40%
Bancroft,neighborhood,All Homes,"$275,200",0.20%,0.40%,0.90%,7.10%,4.40%,---,---,---,---,$224,0.40%,0.40%,1.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$1,726",0.80%,--0.9%,3.00%
Beltrami,neighborhood,All Homes,"$256,000",0.20%,0.50%,2.20%,7.10%,4.00%,---,---,---,---,$222,0.00%,0.50%,1.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Bottineau,neighborhood,All Homes,"$282,100",0.50%,1.50%,6.10%,8.90%,5.40%,---,---,---,---,$198,0.50%,1.50%,5.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Bryant,neighborhood,All Homes,"$271,300",0.30%,1.00%,4.10%,7.70%,4.30%,---,---,---,---,$205,0.50%,1.00%,4.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Bryn Mawr,neighborhood,All Homes,"$430,100",0.10%,0.30%,1.60%,4.00%,3.60%,---,---,---,---,$271,0.00%,0.00%,1.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,094",--2.6%,--4.1%,--0.9%
Calhoun,neighborhood,All Homes,"$378,200",0.50%,1.40%,3.90%,4.80%,3.50%,---,---,---,---,$266,0.80%,1.50%,3.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$1,869",--0.5%,--2.8%,--0.3%
Cedar-Isles-Dean,neighborhood,All Homes,"$534,100",0.50%,1.20%,1.90%,3.10%,2.30%,---,---,---,---,$325,0.30%,0.90%,1.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Cedar-Riverside,neighborhood,All Homes,"$182,900",0.30%,0.80%,4.40%,4.60%,1.90%,---,---,---,---,$185,0.50%,1.10%,4.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Central,neighborhood,All Homes,"$262,800",0.10%,0.30%,2.40%,8.70%,5.60%,---,---,---,---,$176,0.00%,0.60%,2.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,712",1.10%,0.20%,3.20%
Cleveland,neighborhood,All Homes,"$198,600",0.40%,1.10%,2.80%,9.80%,5.50%,---,---,---,---,$162,0.60%,0.60%,2.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,479",--0.1%,2.20%,3.90%
Columbia Park,neighborhood,All Homes,"$252,600",0.80%,1.80%,6.80%,8.00%,4.50%,---,---,---,---,$209,1.00%,2.00%,6.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Cooper,neighborhood,All Homes,"$314,500",0.30%,0.70%,1.40%,5.40%,3.70%,---,---,---,---,$260,0.40%,0.80%,1.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,827",1.00%,0.30%,2.10%
Corcoran,neighborhood,All Homes,"$254,500",0.40%,0.90%,3.30%,7.50%,3.70%,---,---,---,---,"$2,006",0.40%,0.90%,3.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$1,655",0.70%,0.50%,2.30%
Diamond Lake,neighborhood,All Homes,"$357,400",0.60%,1.30%,3.60%,5.30%,3.90%,---,---,---,---,$829,0.60%,1.20%,3.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$1,878",--1.6%,--4.5%,--0.5%
Downtown East,neighborhood,All Homes,"$554,800",0.10%,0.80%,7.70%,6.60%,5.40%,---,---,---,---,$366,0.00%,0.80%,7.60%,---,---,---,---,"$675,000",1.40%,12.50%,28.60%,---,---,---,---,$420,1.10%,3.40%,14.90%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,875",--0.1%,--0.6%,10.70%
Downtown West,neighborhood,All Homes,"$254,600",0.00%,0.10%,2.30%,5.00%,3.30%,---,---,---,---,$276,0.00%,0.00%,2.20%,---,---,---,---,---,---,---,---,"$239,400",0.00%,--3.3%,--7.9%,$279,1.10%,--15.9%,--12.2%,---,---,---,---,---,---,---,---,0,---,---,---,"$1,739",0.60%,2.10%,8.10%
East Bank-Nicollet Island,neighborhood,All Homes,"$462,900",--0.4%,--0.7%,0.40%,3.50%,3.00%,---,---,---,---,$344,--0.6%,--0.9%,0.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
East Calhoun,neighborhood,All Homes,"$534,000",0.40%,0.90%,3.60%,3.60%,3.20%,---,---,---,---,$292,0.30%,0.70%,3.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
East Harriet,neighborhood,All Homes,"$401,600",0.40%,1.10%,1.90%,4.50%,3.10%,---,---,---,---,$267,0.40%,1.10%,1.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,036",--1.6%,--0.9%,1.20%
